slno,statename,districtname,marketname,commodity,variety,grade,minprice,maxprice,modalprice,pricedate
38,TELANGANA,Hyderabad,Bowenpally,White Pumpkin,Other,FAQ,400,700,600,2021-03-21T18:30:00.000Z
5,PUNJAB,Jalandhar,Bilga,Turnip,Other,FAQ,4000,4200,4100,2021-04-09T18:30:00.000Z
6,HIMACHAL PRADESH,Kangra,Kangra(Jassour),Turnip,Other,FAQ,600,700,650,2021-04-08T18:30:00.000Z
7,PUNJAB,Hoshiarpur,Hoshiarpur(Sham Churasi),Turnip,Turnip,FAQ,1000,1700,1500,2021-04-08T18:30:00.000Z
8,PUNJAB,Hoshiarpur,Hoshiarpur(Sham Churasi),Turnip,Turnip,FAQ,1500,2000,1800,2021-04-07T18:30:00.000Z
9,HIMACHAL PRADESH,Kangra,Kangra(Baijnath),Turnip,Other,FAQ,1400,1400,1400,2021-04-06T18:30:00.000Z
10,JAMMU AND KASHMIR,Jammu,Batote,Turnip,Other,FAQ,1000,1200,1100,2021-04-06T18:30:00.000Z
11,PUNJAB,Hoshiarpur,Hoshiarpur(Sham Churasi),Turnip,Turnip,FAQ,1000,1500,1200,2021-04-06T18:30:00.000Z
7,JHARKHAND,Lohardaga,Lohardaga,Wheat Atta,Wheat Atta,FAQ,2400,2600,2500,2021-04-06T18:30:00.000Z
8,JHARKHAND,Lohardaga,Lohardaga,Wheat Atta,Wheat Atta,FAQ,2400,2600,2500,2021-04-05T18:30:00.000Z
9,JHARKHAND,Lohardaga,Lohardaga,Wheat Atta,Wheat Atta,FAQ,2400,2600,2500,2021-04-04T18:30:00.000Z
10,JHARKHAND,Lohardaga,Lohardaga,Wheat Atta,Wheat Atta,FAQ,2400,2600,2500,2021-04-02T18:30:00.000Z
11,UTTAR PRADESH,Sultanpur,Jafarganj,Wheat Atta,Wheat Atta,FAQ,2100,2200,2150,2021-04-01T18:30:00.000Z
12,UTTAR PRADESH,Sultanpur,Sultanpur,Wheat Atta,Wheat Atta,FAQ,2100,2200,2150,2021-04-01T18:30:00.000Z
13,JHARKHAND,Lohardaga,Lohardaga,Wheat Atta,Wheat Atta,FAQ,2400,2600,2500,2021-03-31T18:30:00.000Z
14,JHARKHAND,Lohardaga,Lohardaga,Wheat Atta,Wheat Atta,FAQ,2400,2600,2500,2021-03-30T18:30:00.000Z
15,JHARKHAND,Lohardaga,Lohardaga,Wheat Atta,Wheat Atta,FAQ,2400,2600,2500,2021-03-26T18:30:00.000Z
10,GUJARAT,Surat,Surat,Turmeric (raw),Other,FAQ,1000,1750,1375,2021-03-30T18:30:00.000Z
12,GUJARAT,Surat,Surat,Turmeric (raw),Other,FAQ,1000,1800,1400,2021-03-29T18:30:00.000Z
