"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"33","KERELA","Kollam","Sasthamkotta","Turmeric (raw)","Other","FAQ","1500","1900","1700","3/19/2021"
"34","NAGALAND","Longleng","Longleng","Turmeric (raw)","Other","FAQ","1400","1700","1600","3/19/2021"
"35","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","3/19/2021"
"36","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1300","2000","1650","3/18/2021"
"37","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","3/18/2021"
"38","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1300","2000","1650","3/17/2021"
"39","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","1800","2200","2000","3/17/2021"
"40","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1500","2000","1750","3/16/2021"
"41","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1500","2000","1750","3/15/2021"
"42","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","1800","2200","2000","3/15/2021"
"43","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1600","2100","1850","3/13/2021"
"44","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2280","2200","3/13/2021"
"45","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","800","1000","950","3/12/2021"
"46","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1300","2000","1650","3/12/2021"
"47","KERELA","Kollam","Sasthamkotta","Turmeric (raw)","Other","FAQ","2600","3100","2900","3/12/2021"
"48","NAGALAND","Longleng","Longleng","Turmeric (raw)","Other","FAQ","1900","2200","2100","3/12/2021"
"49","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","1800","2200","2000","3/12/2021"
"50","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2400","2200","3/11/2021"
"51","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","800","1000","950","3/10/2021"
"52","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1200","2000","1600","3/10/2021"
"53","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","1800","2200","2000","3/10/2021"
"54","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1500","2000","1750","3/9/2021"
"55","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","1800","2200","2000","3/9/2021"
"56","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","2000","1500","3/8/2021"
"57","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","1800","2200","2000","3/8/2021"
"58","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1300","2000","1650","3/6/2021"
"59","MEGHALAYA","South West Garo Hills","Ampati","Turmeric (raw)","Other","FAQ","1800","3000","2500","3/6/2021"
"60","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","1600","2000","1800","3/6/2021"
"61","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1000","1600","1400","3/5/2021"
"62","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1300","2000","1650","3/5/2021"
"63","KERELA","Kollam","Sasthamkotta","Turmeric (raw)","Other","FAQ","1800","2200","2000","3/5/2021"
"64","NAGALAND","Longleng","Longleng","Turmeric (raw)","Other","FAQ","1900","2300","2000","3/5/2021"
"65","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2250","2200","3/5/2021"
"66","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1200","2000","1600","3/4/2021"
"67","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","1600","2000","1800","3/4/2021"
"68","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","1800","2200","2000","3/3/2021"
"69","KERELA","Kollam","Sasthamkotta","Turmeric (raw)","Other","FAQ","1800","2200","2000","3/2/2021"
"70","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","1800","2200","2000","2/28/2021"
"71","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1200","1600","1500","2/27/2021"
"72","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1500","2100","1800","2/27/2021"
"73","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2500","2200","2/27/2021"
"74","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1200","2000","1750","2/26/2021"
"75","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1300","2000","1650","2/26/2021"
"76","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","2000","1800","2/26/2021"
"77","KERELA","Kollam","Sasthamkotta","Turmeric (raw)","Other","FAQ","1800","2200","2000","2/26/2021"
"78","NAGALAND","Longleng","Longleng","Turmeric (raw)","Other","FAQ","1800","2100","1900","2/26/2021"
"79","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1500","2000","1850","2/25/2021"
"80","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1300","2000","1650","2/25/2021"
"81","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","2000","1800","2/25/2021"
"82","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2400","2200","2/25/2021"
"83","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1500","2000","1850","2/24/2021"
"84","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1200","2000","1600","2/24/2021"
"85","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","2/24/2021"
"86","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1500","2000","1850","2/23/2021"
"87","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1300","2000","1650","2/23/2021"
"88","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2400","2200","2/23/2021"
"89","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","2000","2500","2300","2/22/2021"
"90","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1200","2000","1600","2/22/2021"
"91","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2500","2200","2/22/2021"
"92","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","2000","1950","2/21/2021"
"93","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","2/21/2021"
"94","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","2000","1500","2/20/2021"
"95","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","2000","1950","2/20/2021"
"96","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","2/20/2021"
"97","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1500","2000","1850","2/19/2021"
"98","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","1800","1400","2/19/2021"
"99","NAGALAND","Longleng","Longleng","Turmeric (raw)","Other","FAQ","1700","2000","1800","2/19/2021"
"100","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2400","2200","2/19/2021"
"101","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1400","2000","1800","2/18/2021"
"102","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","2000","1500","2/18/2021"
"103","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","2000","1950","2/18/2021"
"104","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2060","2400","2200","2/18/2021"
"105","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","2000","2200","2100","2/17/2021"
"106","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","1800","1400","2/17/2021"
"107","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","2000","1950","2/17/2021"
"108","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2400","2800","2500","2/17/2021"
"109","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","900","1500","1300","2/16/2021"
"110","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","2000","1500","2/16/2021"
"111","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1200","1800","1500","2/15/2021"
"112","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1250","2000","1625","2/13/2021"
"113","MEGHALAYA","South West Garo Hills","Ampati","Turmeric (raw)","Other","FAQ","1800","2700","2000","2/13/2021"
"114","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","2/13/2021"
"115","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1000","2000","1650","2/12/2021"
"116","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1200","2000","1600","2/12/2021"
"117","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1800","2000","1950","2/12/2021"
"118","NAGALAND","Longleng","Longleng","Turmeric (raw)","Other","FAQ","1800","2100","1900","2/12/2021"
"119","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","2/12/2021"
"120","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1500","2000","1800","2/11/2021"
"121","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","1750","1375","2/11/2021"
"122","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1500","2000","1800","2/10/2021"
"123","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","1750","1375","2/10/2021"
"124","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2400","2260","2/10/2021"
"125","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1500","2000","1850","2/9/2021"
"126","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","1600","1300","2/9/2021"
"127","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1800","2000","1950","2/9/2021"
"128","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1000","2000","1500","2/8/2021"
"129","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","1600","1300","2/8/2021"
"130","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2400","2250","2/8/2021"
