"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"36","UTTAR PRADESH","Muzaffarnagar","Shahpur","White Pumpkin","White Pumpkin","FAQ","400","420","410","3/23/2021"
"37","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","800","1000","900","3/22/2021"
"38","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","400","700","600","3/22/2021"
"39","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","600","1000","900","3/21/2021"
"40","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","800","1000","900","3/20/2021"
"41","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","400","700","600","3/20/2021"
"42","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","900","1100","1000","3/19/2021"
"43","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","400","800","700","3/19/2021"
"44","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","900","1100","1000","3/18/2021"
"45","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","400","600","500","3/18/2021"
"46","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","3/17/2021"
"47","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1400","1600","1500","3/17/2021"
"48","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","400","600","500","3/17/2021"
"49","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","900","1100","1000","3/16/2021"
"50","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1200","1400","1300","3/16/2021"
"51","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","900","1100","1000","3/15/2021"
"52","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1200","1400","1300","3/15/2021"
"53","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","900","1100","1000","3/12/2021"
"54","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1200","1400","1300","3/12/2021"
"55","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","3/10/2021"
"56","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1200","1400","1300","3/10/2021"
"57","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","400","800","600","3/10/2021"
"58","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","1000","1200","1100","3/9/2021"
"59","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","400","800","500","3/9/2021"
"60","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","900","1100","1000","3/8/2021"
"61","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","800","1000","900","3/8/2021"
