Sl no.,State Name,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
240,KERELA,Malappuram,Perinthalmanna,Amphophalus,Amphophalus,FAQ,2000,2400,2200,3/29/2021
241,KERELA,Ernakulam,Piravam,Amphophalus,Other,FAQ,1500,2500,2000,3/29/2021
242,KERELA,Kollam,Punalur,Amphophalus,Amphophalus,FAQ,2200,2600,2400,3/29/2021
243,KERELA,Kozhikode(Calicut),Quilandy,Amphophalus,Other,FAQ,1800,2000,1800,3/29/2021
244,KERELA,Kozhikode(Calicut),Thamarassery,Amphophalus,Other,FAQ,1800,2400,2100,3/29/2021
245,KERELA,Ernakulam,Thrippunithura,Amphophalus,Amphophalus,FAQ,2300,3600,2600,3/29/2021
246,KERELA,Alappuzha,Alappuzha,Amphophalus,Other,FAQ,2400,2500,2450,3/28/2021
247,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1800,2200,2000,3/28/2021
248,KERELA,Kollam,Chathanoor,Amphophalus,Other,FAQ,2000,2400,2200,3/28/2021
249,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1900,2100,2000,3/28/2021
250,KERELA,Kollam,Kollam,Amphophalus,Other,FAQ,2200,2500,2400,3/28/2021
251,KERELA,Wayanad,Manathavady,Amphophalus,Other,FAQ,1100,1200,1200,3/28/2021
252,KERELA,Alappuzha,Alappuzha,Amphophalus,Other,FAQ,2400,2500,2450,3/27/2021
253,KERELA,Thiruvananthapuram,Aralamoodu,Amphophalus,Amphophalus,FAQ,3000,3000,3000,3/27/2021
